card_name,f1,f1_sig_strike_per,f1_sig_strike_total,f1_td_attempt,f1_td_succeed,f2,f2_sig_strike_per,f2_sig_strike_total,f2_td_attempt,f2_td_succeed,fights_location,round_format,round_fought,weight_class,winner,winning_method,fight_year,SApM_f1,SLpM_f1,height_f1,reach_f1,stance_f1,strAcc_f1,strDef_f1,subAvg_f1,tdAcc_f1,tdAvg_f1,tdDef_f1,weight_f1,birth_year_f1,win_f1,lose_f1,draw_f1,nc_f1,SApM_f2,SLpM_f2,height_f2,reach_f2,stance_f2,strAcc_f2,strDef_f2,subAvg_f2,tdAcc_f2,tdAvg_f2,tdDef_f2,weight_f2,birth_year_f2,win_f2,lose_f2,draw_f2,nc_f2,f1_age_when_fight,f2_age_when_fight
UFC 88: Breakthrough,Chuck Liddell,0.37,35.0,0.0,0.0,Rashad Evans,0.2,50.0,0.0,0.0,"Atlanta, Georgia, USA",3.0,2.0,Light Heavyweight,0.0,KO/TKO,2008.0,3.8,3.69,185.42,76.0,Orthodox,0.42,0.61,0.0,0.34,3.0,0.91,205,1976,12,8,0,0,2.07,4.1,185.42,76.0,Southpaw,0.44,0.62,0.7,0.66,1.31,0.63,185,1974,29,7,0,1,32.0,34.0
UFC 87: Seek And Destroy,Demian Maia,0.5,59.0,4.0,2.0,Jason MacDonald,0.46,15.0,2.0,0.0,"Minneapolis, Minnesota, USA",3.0,3.0,Middleweight,1.0,SUB,2008.0,2.71,2.97,187.96,76.0,Orthodox,0.35,0.56,0.0,0.75,0.44,0.81,205,1969,21,8,0,0,2.42,2.14,182.88,75.0,Orthodox,0.37,0.63,0.0,0.44,2.98,0.73,205,1979,19,8,1,0,39.0,29.0
UFC 87: Seek And Destroy,Dan Evensen,0.67,34.0,2.0,2.0,Cheick Kongo,0.22,9.0,0.0,0.0,"Minneapolis, Minnesota, USA",3.0,1.0,Heavyweight,0.0,KO/TKO,2008.0,2.07,1.8,185.42,72.0,Southpaw,0.43,0.63,1.0,0.24,2.49,0.61,170,1977,28,11,0,0,2.7,1.55,190.5,80.0,Orthodox,0.52,0.46,2.0,0.16,1.43,0.35,185,1975,25,16,0,0,31.0,33.0
UFC 87: Seek And Destroy,Ben Saunders,0.7,58.0,1.0,1.0,Ryan Thomas,0.22,53.0,7.0,0.0,"Minneapolis, Minnesota, USA",3.0,2.0,Welterweight,1.0,SUB,2008.0,3.86,0.27,190.5,77.0,Orthodox,0.1,0.38,4.0,0.0,0.0,0.0,250,1974,11,4,0,0,1.28,3.33,193.04,82.0,Orthodox,0.56,0.54,0.2,0.56,2.3,0.52,240,1975,27,10,2,0,34.0,33.0
UFC 87: Seek And Destroy,Kenny Florian,0.51,99.0,7.0,5.0,Roger Huerta,0.32,103.0,5.0,0.0,"Minneapolis, Minnesota, USA",3.0,3.0,Lightweight,1.0,U-DEC,2008.0,3.58,3.23,187.96,77.0,Orthodox,0.5,0.51,1.3,0.4,0.2,0.66,170,1983,22,13,2,0,4.17,2.01,182.88,74.0,Orthodox,0.36,0.3,2.2,0.33,5.59,0.0,170,1984,20,8,0,0,25.0,24.0
UFC 87: Seek And Destroy,Manvel Gamburyan,1.0,3.0,0.0,0.0,Rob Emerson,0.0,3.0,0.0,0.0,"Minneapolis, Minnesota, USA",3.0,1.0,Lightweight,0.0,KO/TKO,2008.0,1.85,2.41,177.8,74.0,Southpaw,0.4,0.63,1.3,0.33,2.22,0.6,145,1976,14,6,0,0,2.33,3.64,175.26,70.0,Orthodox,0.36,0.56,0.5,0.46,2.13,0.52,155,1983,23,9,1,1,32.0,25.0
UFC 87: Seek And Destroy,Heath Herring,0.86,52.0,6.0,5.0,Brock Lesnar,0.42,21.0,0.0,0.0,"Minneapolis, Minnesota, USA",3.0,3.0,Heavyweight,0.0,U-DEC,2008.0,2.83,2.13,165.1,67.0,Orthodox,0.41,0.55,0.7,0.34,3.26,0.69,135,1981,15,10,0,1,2.83,2.5,175.26,70.0,Orthodox,0.3,0.64,0.4,0.52,2.02,0.65,155,1981,18,12,0,1,27.0,27.0
UFC: Silva vs Irvin,Shannon Gugerty,0.37,8.0,1.0,1.0,Dale Hartt,0.16,6.0,0.0,0.0,"Las Vegas, Nevada, USA",3.0,1.0,Lightweight,1.0,SUB,2008.0,1.77,2.37,193.04,78.0,Orthodox,0.5,0.54,0.7,0.5,1.22,0.32,250,1978,28,16,0,1,2.11,3.53,190.5,81.0,Orthodox,0.72,0.5,0.5,0.55,3.9,0.6,265,1977,5,3,0,1,30.0,31.0
UFC 87: Seek And Destroy,Jon Fitch,0.57,226.0,9.0,7.0,Georges St-Pierre,0.28,132.0,6.0,0.0,"Minneapolis, Minnesota, USA",5.0,5.0,Welterweight,0.0,U-DEC,2008.0,1.88,1.25,177.8,71.0,Orthodox,0.39,0.58,3.4,0.27,2.13,0.5,155,1981,15,7,0,0,1.55,1.14,177.8,69.0,Orthodox,0.35,0.66,2.5,1.0,1.22,0.25,155,1979,6,3,0,0,27.0,29.0
UFC: Silva vs Irvin,Brodie Farber,0.27,22.0,0.0,0.0,Rory Markham,0.56,32.0,0.0,0.0,"Las Vegas, Nevada, USA",3.0,1.0,Welterweight,0.0,KO/TKO,2008.0,1.65,2.61,182.88,74.0,Orthodox,0.5,0.54,0.8,0.51,3.6,0.56,170,1978,30,7,1,1,1.4,3.78,180.34,76.0,Orthodox,0.53,0.72,1.1,0.74,4.16,0.83,185,1981,26,2,0,0,30.0,27.0
