card_name,f1,f1_sig_strike_per,f1_sig_strike_total,f1_td_attempt,f1_td_succeed,f2,f2_sig_strike_per,f2_sig_strike_total,f2_td_attempt,f2_td_succeed,fight_date,fights_location,round_format,round_fought,weight_class,winner,winning_method
UFC 157: Rousey vs Carmouche,Dennis Bermudez,57%,209,9,0,Matt Grice,50%,162,12,1,February 23 2013,"Anaheim, California, USA",3,3,Featherweight,Dennis Bermudez,S-DEC
UFC 157: Rousey vs Carmouche,Sam Stout,38%,120,3,1,Caros Fodor,51%,92,13,3,February 23 2013,"Anaheim, California, USA",3,3,Lightweight,Sam Stout,S-DEC
UFC 157: Rousey vs Carmouche,Michael Chiesa,10%,50,5,1,Anton Kuivanen,32%,55,0,0,February 23 2013,"Anaheim, California, USA",3,2,Lightweight,Michael Chiesa,SUB
UFC 157: Rousey vs Carmouche,Court McGee,49%,334,5,2,Josh Neer,41%,152,0,0,February 23 2013,"Anaheim, California, USA",3,3,Welterweight,Court McGee,U-DEC
UFC 157: Rousey vs Carmouche,Robbie Lawler,50%,4,6,2,Josh Koscheck,60%,15,0,0,February 23 2013,"Anaheim, California, USA",3,1,Welterweight,Robbie Lawler,KO/TKO
UFC 157: Rousey vs Carmouche,Urijah Faber,70%,24,0,0,Ivan Menjivar,42%,7,1,1,February 23 2013,"Anaheim, California, USA",3,1,Bantamweight,Urijah Faber,SUB
UFC 157: Rousey vs Carmouche,Lyoto Machida,50%,54,1,1,Dan Henderson,31%,64,3,1,February 23 2013,"Anaheim, California, USA",3,3,Light Heavyweight,Lyoto Machida,S-DEC
UFC on FUEL TV: Barao vs McDonald,Vaughan Lee,41%,48,0,0,Motonobu Tezuka,11%,35,15,1,February 16 2013,"London, England, United Kingdom",3,3,Bantamweight,Vaughan Lee,U-DEC
UFC on FUEL TV: Barao vs McDonald,Tom Watson,54%,102,0,0,Stanislav Nedkov,50%,78,6,5,February 16 2013,"London, England, United Kingdom",3,2,Middleweight,Tom Watson,KO/TKO
UFC on FUEL TV: Barao vs McDonald,Andy Ogle,45%,42,2,2,Josh Grispi,26%,26,2,1,February 16 2013,"London, England, United Kingdom",3,3,Featherweight,Andy Ogle,U-DEC
UFC on FUEL TV: Barao vs McDonald,Che Mills,56%,50,1,0,Matthew Riddle,57%,40,14,5,February 16 2013,"London, England, United Kingdom",3,3,Welterweight,Che Mills,Overturned
UFC on FUEL TV: Barao vs McDonald,Gunnar Nelson,52%,80,4,2,Jorge Santiago,34%,123,0,0,February 16 2013,"London, England, United Kingdom",3,3,Welterweight,Gunnar Nelson,U-DEC
UFC on FUEL TV: Barao vs McDonald,Danny Castillo,17%,23,0,0,Paul Sass,56%,67,6,4,February 16 2013,"London, England, United Kingdom",3,3,Lightweight,Danny Castillo,U-DEC
UFC on FUEL TV: Barao vs McDonald,Renee Forte,20%,62,0,0,Terry Etim,39%,119,3,2,February 16 2013,"London, England, United Kingdom",3,3,Lightweight,Renee Forte,U-DEC
UFC 157: Rousey vs Carmouche,Ronda Rousey,50%,14,1,1,Liz Carmouche,66%,6,0,0,February 23 2013,"Anaheim, California, USA",5,1,Women's Bantamweight,Ronda Rousey,SUB
