card_name,f1,f1_sig_strike_per,f1_sig_strike_total,f1_td_attempt,f1_td_succeed,f2,f2_sig_strike_per,f2_sig_strike_total,f2_td_attempt,f2_td_succeed,fight_date,fights_location,round_format,round_fought,weight_class,winner,winning_method
UFC Fight Night: Mendes vs Lamas,Clay Guida,42%,64,11,6,Robert Peralta,28%,84,0,0,April 04 2015,"Fairfax, Virginia, USA",3,3,Featherweight,Clay Guida,U-DEC
UFC Fight Night: Mendes vs Lamas,Alexander Yakovlev,38%,55,17,2,Gray Maynard,43%,72,5,2,April 04 2015,"Fairfax, Virginia, USA",3,3,Lightweight,Alexander Yakovlev,U-DEC
UFC Fight Night: Mendes vs Lamas,Michael Chiesa,46%,128,7,4,Mitch Clarke,54%,120,4,0,April 04 2015,"Fairfax, Virginia, USA",3,3,Lightweight,Michael Chiesa,U-DEC
UFC Fight Night: Mendes vs Lamas,Julianna Pena,50%,73,1,1,Milana Dudieva,0%,5,2,1,April 04 2015,"Fairfax, Virginia, USA",3,1,Women's Bantamweight,Julianna Pena,KO/TKO
UFC Fight Night: Mendes vs Lamas,Chad Mendes,84%,32,0,0,Ricardo Lamas,36%,22,0,0,April 04 2015,"Fairfax, Virginia, USA",5,1,Featherweight,Chad Mendes,KO/TKO
UFC Fight Night: Mendes vs Lamas,Al Iaquinta,48%,170,0,0,Jorge Masvidal,35%,153,9,0,April 04 2015,"Fairfax, Virginia, USA",3,3,Lightweight,Al Iaquinta,S-DEC
UFC 185: Pettis vs Dos Anjos,Ryan Benoit,39%,100,3,1,Sergio Pettis,31%,90,1,1,March 14 2015,"Dallas, Texas, USA",3,2,Flyweight,Ryan Benoit,KO/TKO
UFC 185: Pettis vs Dos Anjos,Beneil Dariush,39%,43,5,0,Daron Cruickshank,52%,51,1,1,March 14 2015,"Dallas, Texas, USA",3,2,Lightweight,Beneil Dariush,SUB
UFC 185: Pettis vs Dos Anjos,Elias Theodorou,34%,113,4,2,Roger Narvaez,32%,49,0,0,March 14 2015,"Dallas, Texas, USA",3,2,Middleweight,Elias Theodorou,KO/TKO
UFC 185: Pettis vs Dos Anjos,Jared Rosholt,48%,45,6,2,Josh Copeland,25%,36,0,0,March 14 2015,"Dallas, Texas, USA",3,3,Heavyweight,Jared Rosholt,KO/TKO
UFC 185: Pettis vs Dos Anjos,Ross Pearson,33%,75,0,0,Sam Stout,20%,111,1,0,March 14 2015,"Dallas, Texas, USA",3,2,Lightweight,Ross Pearson,KO/TKO
UFC 185: Pettis vs Dos Anjos,Henry Cejudo,30%,71,0,0,Chris Cariaso,53%,93,7,6,March 14 2015,"Dallas, Texas, USA",3,3,Flyweight,Henry Cejudo,U-DEC
UFC 185: Pettis vs Dos Anjos,Alistair Overeem,29%,77,4,0,Roy Nelson,73%,84,2,0,March 14 2015,"Dallas, Texas, USA",3,3,Heavyweight,Alistair Overeem,U-DEC
UFC 185: Pettis vs Dos Anjos,Rafael Dos Anjos,33%,162,1,0,Anthony Pettis,52%,171,10,9,March 14 2015,"Dallas, Texas, USA",5,5,Lightweight,Rafael Dos Anjos,U-DEC
UFC 185: Pettis vs Dos Anjos,Johny Hendricks,53%,67,10,9,Matt Brown,46%,49,0,0,March 14 2015,"Dallas, Texas, USA",3,3,Welterweight,Johny Hendricks,U-DEC
UFC 185: Pettis vs Dos Anjos,Joanna Jedrzejczyk,18%,22,17,1,Carla Esparza,50%,105,0,0,March 14 2015,"Dallas, Texas, USA",5,2,Women's Strawweight,Joanna Jedrzejczyk,KO/TKO
UFC Fight Night: Maia vs LaFlare,Leonardo Mafra,49%,191,6,5,Cain Carrizosa,43%,101,5,0,March 21 2015,"Rio de Janeiro, Brazil",3,3,Lightweight,Leonardo Mafra,U-DEC
UFC Fight Night: Maia vs LaFlare,Leandro Silva,52%,48,4,2,Drew Dober,30%,72,0,0,March 21 2015,"Rio de Janeiro, Brazil",3,2,Lightweight,Leandro Silva,Overturned
UFC Fight Night: Maia vs LaFlare,Fredy Serrano,18%,79,0,0,Bentley Syler,20%,98,8,2,March 21 2015,"Rio de Janeiro, Brazil",3,3,Flyweight,Fredy Serrano,KO/TKO
UFC Fight Night: Maia vs LaFlare,Francisco Trinaldo,33%,115,3,3,Akbarh Arreola,45%,74,0,0,March 21 2015,"Rio de Janeiro, Brazil",3,3,Lightweight,Francisco Trinaldo,U-DEC
UFC Fight Night: Maia vs LaFlare,Christos Giagos,0%,4,0,0,Jorge de Oliveira,52%,34,1,1,March 21 2015,"Rio de Janeiro, Brazil",3,1,Lightweight,Christos Giagos,SUB
UFC Fight Night: Maia vs LaFlare,Amanda Nunes,88%,17,0,0,Shayna Baszler,12%,8,2,0,March 21 2015,"Rio de Janeiro, Brazil",3,1,Women's Bantamweight,Amanda Nunes,KO/TKO
UFC Fight Night: Maia vs LaFlare,Edimilson Souza,71%,7,0,0,Katsunori Kikuno,25%,4,0,0,March 21 2015,"Rio de Janeiro, Brazil",3,1,Featherweight,Edimilson Souza,KO/TKO
UFC Fight Night: Maia vs LaFlare,Godofredo Pepey,25%,4,2,0,Andre Fili,16%,6,0,0,March 21 2015,"Rio de Janeiro, Brazil",3,1,Featherweight,Godofredo Pepey,SUB
UFC Fight Night: Maia vs LaFlare,Gilbert Burns,38%,44,5,2,Alex Oliveira,38%,76,0,0,March 21 2015,"Rio de Janeiro, Brazil",3,3,Lightweight,Gilbert Burns,SUB
UFC Fight Night: Maia vs LaFlare,Leonardo Santos,30%,39,2,1,Anthony Rocco Martin,38%,36,3,0,March 21 2015,"Rio de Janeiro, Brazil",3,2,Lightweight,Leonardo Santos,SUB
UFC Fight Night: Maia vs LaFlare,Erick Silva,43%,32,1,0,Josh Koscheck,19%,21,3,0,March 21 2015,"Rio de Janeiro, Brazil",3,1,Welterweight,Erick Silva,SUB
UFC Fight Night: Maia vs LaFlare,Demian Maia,52%,69,14,5,Ryan LaFlare,27%,91,0,0,March 21 2015,"Rio de Janeiro, Brazil",5,5,Welterweight,Demian Maia,U-DEC
UFC Fight Night: Henderson vs Thatch,Efrain Escudero,72%,129,2,2,Rodrigo de Lima,33%,72,8,3,February 14 2015,"Broomfield, Colorado, USA",3,3,Lightweight,Efrain Escudero,U-DEC
UFC Fight Night: Henderson vs Thatch,Kevin Lee,37%,89,9,3,Michel Prazeres,40%,153,5,4,February 14 2015,"Broomfield, Colorado, USA",3,3,Lightweight,Kevin Lee,U-DEC
UFC Fight Night: Henderson vs Thatch,Daniel Kelly,32%,190,0,0,Patrick Walsh,16%,296,4,1,February 14 2015,"Broomfield, Colorado, USA",3,3,Middleweight,Daniel Kelly,U-DEC
UFC Fight Night: Henderson vs Thatch,Neil Magny,67%,112,4,3,Kiichi Kunimoto,35%,28,4,1,February 14 2015,"Broomfield, Colorado, USA",3,3,Welterweight,Neil Magny,SUB
UFC Fight Night: Henderson vs Thatch,Ray Borg,67%,28,6,5,Chris Kelades,33%,12,1,0,February 14 2015,"Broomfield, Colorado, USA",3,3,Flyweight,Ray Borg,SUB
UFC Fight Night: Henderson vs Thatch,Benson Henderson,37%,154,5,3,Brandon Thatch,30%,143,3,2,February 14 2015,"Broomfield, Colorado, USA",5,4,Welterweight,Benson Henderson,SUB
UFC Fight Night: Henderson vs Thatch,Max Holloway,32%,176,1,1,Cole Miller,23%,132,2,0,February 14 2015,"Broomfield, Colorado, USA",3,3,Featherweight,Max Holloway,U-DEC
UFC 184: Rousey vs Zingano,Valmir Lazaro,41%,209,10,0,James Krause,34%,254,0,0,February 28 2015,"Los Angeles, California, USA",3,3,Lightweight,Valmir Lazaro,S-DEC
UFC 184: Rousey vs Zingano,Derrick Lewis,64%,82,2,0,Ruan Potts,53%,13,3,1,February 28 2015,"Los Angeles, California, USA",3,2,Heavyweight,Derrick Lewis,KO/TKO
UFC 184: Rousey vs Zingano,Tony Ferguson,28%,38,1,1,Gleison Tibau,10%,20,1,0,February 28 2015,"Los Angeles, California, USA",3,1,Lightweight,Tony Ferguson,SUB
UFC 184: Rousey vs Zingano,Roman Salazar,32%,49,2,1,Norifumi Yamamoto,38%,49,0,0,February 28 2015,"Los Angeles, California, USA",3,2,Bantamweight,Roman Salazar,CNC
UFC 184: Rousey vs Zingano,Masio Fullen,30%,134,2,1,Alex Torres,37%,99,9,2,February 28 2015,"Los Angeles, California, USA",3,3,Featherweight,Masio Fullen,S-DEC
UFC 184: Rousey vs Zingano,Tim Means,29%,24,1,0,Dhiego Lima,54%,42,0,0,February 28 2015,"Los Angeles, California, USA",3,1,Welterweight,Tim Means,KO/TKO
UFC 184: Rousey vs Zingano,Alan Jouban,48%,25,0,0,Richard Walsh,50%,20,0,0,February 28 2015,"Los Angeles, California, USA",3,1,Welterweight,Alan Jouban,KO/TKO
UFC 184: Rousey vs Zingano,Jake Ellenberger,28%,52,0,0,Josh Koscheck,17%,40,6,1,February 28 2015,"Los Angeles, California, USA",3,2,Welterweight,Jake Ellenberger,SUB
UFC Fight Night: Bigfoot vs Mir,Mike de la Torre,58%,12,2,0,Tiago dos Santos e Silva,53%,30,1,0,February 22 2015,"Porto Alegre, Rio Grande do Sul, Brazil",3,1,Featherweight,Mike de la Torre,KO/TKO
UFC 184: Rousey vs Zingano,Roan Carneiro,0%,1,1,0,Mark Munoz,33%,3,0,0,February 28 2015,"Los Angeles, California, USA",3,1,Middleweight,Roan Carneiro,SUB
UFC Fight Night: Bigfoot vs Mir,Ivan Jorge,39%,64,10,3,Josh Shockley,30%,72,2,0,February 22 2015,"Porto Alegre, Rio Grande do Sul, Brazil",3,3,Lightweight,Ivan Jorge,U-DEC
UFC 184: Rousey vs Zingano,Holly Holm,28%,139,5,0,Raquel Pennington,20%,210,0,0,February 28 2015,"Los Angeles, California, USA",3,3,Women's Bantamweight,Holly Holm,S-DEC
UFC Fight Night: Bigfoot vs Mir,Marion Reneau,40%,15,0,0,Jessica Andrade,37%,16,0,0,February 22 2015,"Porto Alegre, Rio Grande do Sul, Brazil",3,1,Women's Bantamweight,Marion Reneau,SUB
UFC Fight Night: Bigfoot vs Mir,Douglas Silva de Andrade,29%,131,1,0,Cody Gibson,21%,137,5,0,February 22 2015,"Porto Alegre, Rio Grande do Sul, Brazil",3,3,Bantamweight,Douglas Silva de Andrade,U-DEC
UFC Fight Night: Bigfoot vs Mir,Matt Dwyer,40%,20,0,0,William Macario,35%,37,1,0,February 22 2015,"Porto Alegre, Rio Grande do Sul, Brazil",3,1,Welterweight,Matt Dwyer,KO/TKO
UFC Fight Night: Bigfoot vs Mir,Santiago Ponzinibbio,30%,162,3,1,Sean Strickland,26%,167,4,2,February 22 2015,"Porto Alegre, Rio Grande do Sul, Brazil",3,3,Welterweight,Santiago Ponzinibbio,U-DEC
UFC Fight Night: Bigfoot vs Mir,Sam Alvey,36%,36,0,0,Cezar Ferreira,50%,8,0,0,February 22 2015,"Porto Alegre, Rio Grande do Sul, Brazil",3,1,Middleweight,Sam Alvey,KO/TKO
UFC Fight Night: Bigfoot vs Mir,Michael Johnson,31%,98,2,0,Edson Barboza,20%,187,1,1,February 22 2015,"Porto Alegre, Rio Grande do Sul, Brazil",3,3,Lightweight,Michael Johnson,U-DEC
UFC Fight Night: Bigfoot vs Mir,Frankie Saenz,52%,59,4,2,Iuri Alcantara,46%,95,4,3,February 22 2015,"Porto Alegre, Rio Grande do Sul, Brazil",3,3,Bantamweight,Frankie Saenz,U-DEC
UFC Fight Night: Bigfoot vs Mir,Adriano Martins,22%,80,4,0,Rustam Khabilov,31%,38,4,3,February 22 2015,"Porto Alegre, Rio Grande do Sul, Brazil",3,3,Lightweight,Adriano Martins,S-DEC
UFC Fight Night: Bigfoot vs Mir,Frank Mir,33%,3,0,0,Antonio Silva,55%,18,0,0,February 22 2015,"Porto Alegre, Rio Grande do Sul, Brazil",5,1,Heavyweight,Frank Mir,KO/TKO
UFC on FOX: Gustafsson vs Johnson,Viktor Pesta,59%,59,13,4,Konstantin Erokhin,47%,36,0,0,January 24 2015,"Stockholm, Sweden",3,3,Heavyweight,Viktor Pesta,U-DEC
UFC on FOX: Gustafsson vs Johnson,Mairbek Taisumov,62%,59,2,2,Anthony Christodoulou,23%,38,1,0,January 24 2015,"Stockholm, Sweden",3,2,Lightweight,Mairbek Taisumov,KO/TKO
UFC on FOX: Gustafsson vs Johnson,Mirsad Bektic,60%,56,3,2,Paul Redmond,28%,7,2,0,January 24 2015,"Stockholm, Sweden",3,3,Featherweight,Mirsad Bektic,U-DEC
UFC on FOX: Gustafsson vs Johnson,Nikita Krylov,81%,16,0,0,Stanislav Nedkov,50%,8,1,0,January 24 2015,"Stockholm, Sweden",3,1,Light Heavyweight,Nikita Krylov,SUB
UFC on FOX: Gustafsson vs Johnson,Albert Tumenov,34%,190,10,0,Nicholas Musoke,43%,201,1,0,January 24 2015,"Stockholm, Sweden",3,3,Welterweight,Albert Tumenov,U-DEC
UFC on FOX: Gustafsson vs Johnson,Kenny Robertson,42%,33,3,0,Sultan Aliev,57%,14,0,0,January 24 2015,"Stockholm, Sweden",3,1,Welterweight,Kenny Robertson,KO/TKO
UFC on FOX: Gustafsson vs Johnson,Sam Sicilia,32%,31,0,0,Akira Corassani,38%,26,0,0,January 24 2015,"Stockholm, Sweden",3,1,Featherweight,Sam Sicilia,KO/TKO
UFC on FOX: Gustafsson vs Johnson,Anthony Johnson,50%,20,0,0,Alexander Gustafsson,63%,47,0,0,January 24 2015,"Stockholm, Sweden",5,1,Light Heavyweight,Anthony Johnson,KO/TKO
UFC Fight Night: McGregor vs Siver,Joby Sanchez,32%,167,1,0,Tateki Matsuda,27%,211,2,2,January 18 2015,"Boston, Massachusetts, USA",3,3,Flyweight,Joby Sanchez,S-DEC
UFC on FOX: Gustafsson vs Johnson,Ryan Bader,27%,129,9,0,Phil Davis,22%,117,3,1,January 24 2015,"Stockholm, Sweden",3,3,Light Heavyweight,Ryan Bader,S-DEC
UFC Fight Night: McGregor vs Siver,Charles Rosa,36%,102,8,5,Sean Soriano,63%,109,7,3,January 18 2015,"Boston, Massachusetts, USA",3,3,Featherweight,Charles Rosa,SUB
UFC Fight Night: McGregor vs Siver,Sean O'Connell,47%,212,0,0,Matt Van Buren,46%,141,2,0,January 18 2015,"Boston, Massachusetts, USA",3,3,Light Heavyweight,Sean O'Connell,KO/TKO
UFC Fight Night: McGregor vs Siver,Paddy Holohan,56%,74,4,3,Shane Howell,34%,64,0,0,January 18 2015,"Boston, Massachusetts, USA",3,3,Flyweight,Paddy Holohan,U-DEC
UFC Fight Night: McGregor vs Siver,Johnny Case,53%,111,5,4,Frankie Perez,41%,39,4,1,January 18 2015,"Boston, Massachusetts, USA",3,3,Lightweight,Johnny Case,KO/TKO
UFC Fight Night: McGregor vs Siver,Lorenz Larkin,66%,15,0,0,John Howard,58%,50,0,0,January 18 2015,"Boston, Massachusetts, USA",3,1,Welterweight,Lorenz Larkin,KO/TKO
UFC on FOX: Gustafsson vs Johnson,Gegard Mousasi,36%,11,0,0,Dan Henderson,18%,22,0,0,January 24 2015,"Stockholm, Sweden",3,1,Middleweight,Gegard Mousasi,KO/TKO
UFC Fight Night: McGregor vs Siver,Uriah Hall,65%,41,0,0,Ron Stallings,55%,18,0,0,January 18 2015,"Boston, Massachusetts, USA",3,1,Middleweight,Uriah Hall,KO/TKO
UFC Fight Night: McGregor vs Siver,Cathal Pendred,43%,112,12,4,Sean Spencer,33%,155,0,0,January 18 2015,"Boston, Massachusetts, USA",3,3,Welterweight,Cathal Pendred,U-DEC
UFC Fight Night: McGregor vs Siver,Chris Wade,60%,46,7,0,Zhang Lipeng,72%,65,9,4,January 18 2015,"Boston, Massachusetts, USA",3,3,Lightweight,Chris Wade,U-DEC
UFC Fight Night: McGregor vs Siver,Donald Cerrone,45%,125,7,1,Benson Henderson,55%,155,1,0,January 18 2015,"Boston, Massachusetts, USA",3,3,Lightweight,Donald Cerrone,U-DEC
UFC Fight Night: McGregor vs Siver,Conor McGregor,53%,119,0,0,Dennis Siver,30%,104,3,0,January 18 2015,"Boston, Massachusetts, USA",5,2,Featherweight,Conor McGregor,KO/TKO
UFC 183: Silva vs Diaz,Derek Brunson,0%,4,0,0,Ed Herman,61%,18,0,0,January 31 2015,"Las Vegas, Nevada, USA",3,1,Middleweight,Derek Brunson,KO/TKO
UFC Fight Night: McGregor vs Siver,Gleison Tibau,30%,140,10,0,Norman Parke,29%,127,6,2,January 18 2015,"Boston, Massachusetts, USA",3,3,Lightweight,Gleison Tibau,S-DEC
UFC 183: Silva vs Diaz,Miesha Tate,38%,60,0,0,Sara McMann,32%,105,2,1,January 31 2015,"Las Vegas, Nevada, USA",3,3,Women's Bantamweight,Miesha Tate,M-DEC
UFC 183: Silva vs Diaz,Rafael Natal,44%,152,13,8,Tom Watson,19%,150,0,0,January 31 2015,"Las Vegas, Nevada, USA",3,3,Middleweight,Rafael Natal,U-DEC
UFC 183: Silva vs Diaz,Thiago Alves,38%,96,0,0,Jordan Mein,33%,68,0,0,January 31 2015,"Las Vegas, Nevada, USA",3,2,Welterweight,Thiago Alves,KO/TKO
UFC 183: Silva vs Diaz,Thales Leites,32%,61,2,1,Tim Boetsch,40%,65,0,0,January 31 2015,"Las Vegas, Nevada, USA",3,2,Middleweight,Thales Leites,SUB
UFC 183: Silva vs Diaz,John Lineker,43%,92,6,1,Ian McCall,31%,121,0,0,January 31 2015,"Las Vegas, Nevada, USA",3,3,Flyweight,John Lineker,U-DEC
UFC 183: Silva vs Diaz,Tyron Woodley,25%,104,0,0,Kelvin Gastelum,22%,143,0,0,January 31 2015,"Las Vegas, Nevada, USA",3,3,Welterweight,Tyron Woodley,S-DEC
UFC 183: Silva vs Diaz,Al Iaquinta,37%,86,1,0,Joe Lauzon,38%,154,3,1,January 31 2015,"Las Vegas, Nevada, USA",3,2,Lightweight,Al Iaquinta,KO/TKO
UFC Fight Night: Machida vs Dollaway,Hacran Dias,38%,97,6,1,Darren Elkins,57%,52,6,5,December 20 2014,"Barueri, Sao Paulo, Brazil",3,3,Featherweight,Hacran Dias,U-DEC
UFC Fight Night: Machida vs Dollaway,Leandro Issa,67%,37,3,2,Yuta Sasaki,42%,19,2,1,December 20 2014,"Barueri, Sao Paulo, Brazil",3,2,Bantamweight,Leandro Issa,SUB
UFC Fight Night: Machida vs Dollaway,Patrick Cummins,41%,29,2,1,Antonio Carlos Junior,65%,94,8,4,December 20 2014,"Barueri, Sao Paulo, Brazil",3,3,Light Heavyweight,Patrick Cummins,U-DEC
UFC Fight Night: Machida vs Dollaway,Renato Moicano,51%,64,0,0,Tom Niinimaki,43%,111,2,1,December 20 2014,"Barueri, Sao Paulo, Brazil",3,2,Featherweight,Renato Moicano,SUB
UFC Fight Night: Machida vs Dollaway,Marcos Rogerio de Lima,85%,21,0,0,Igor Pokrajac,50%,6,0,0,December 20 2014,"Barueri, Sao Paulo, Brazil",3,1,Light Heavyweight,Marcos Rogerio de Lima,KO/TKO
UFC 183: Silva vs Diaz,Anderson Silva,49%,217,0,0,Nick Diaz,34%,223,1,0,January 31 2015,"Las Vegas, Nevada, USA",5,5,Middleweight,Anderson Silva,Overturned
UFC Fight Night: Machida vs Dollaway,Renan Barao,42%,138,4,2,Mitch Gagnon,52%,111,7,0,December 20 2014,"Barueri, Sao Paulo, Brazil",3,3,Bantamweight,Renan Barao,SUB
UFC Fight Night: Machida vs Dollaway,Daniel Sarafian,52%,46,2,0,Antonio Dos Santos,50%,73,0,0,December 20 2014,"Barueri, Sao Paulo, Brazil",3,2,Middleweight,Daniel Sarafian,KO/TKO
UFC 182: Jones vs Cormier,Omari Akhmedov,34%,184,9,5,Mats Nilsson,35%,92,6,5,January 03 2015,"Las Vegas, Nevada, USA",3,3,Welterweight,Omari Akhmedov,U-DEC
UFC Fight Night: Machida vs Dollaway,Erick Silva,100%,2,1,1,Mike Rhodes,66%,3,0,0,December 20 2014,"Barueri, Sao Paulo, Brazil",3,1,Welterweight,Erick Silva,SUB
UFC Fight Night: Machida vs Dollaway,Rashid Magomedov,47%,118,0,0,Elias Silverio,56%,161,2,1,December 20 2014,"Barueri, Sao Paulo, Brazil",3,3,Lightweight,Rashid Magomedov,KO/TKO
UFC 182: Jones vs Cormier,Evan Dunham,44%,344,2,1,Rodrigo Damm,30%,153,0,0,January 03 2015,"Las Vegas, Nevada, USA",3,3,Lightweight,Evan Dunham,U-DEC
UFC 182: Jones vs Cormier,Shawn Jordan,38%,31,0,0,Jared Cannonier,50%,20,0,0,January 03 2015,"Las Vegas, Nevada, USA",3,1,Heavyweight,Shawn Jordan,KO/TKO
UFC Fight Night: Machida vs Dollaway,Lyoto Machida,63%,19,0,0,CB Dollaway,0%,2,0,0,December 20 2014,"Barueri, Sao Paulo, Brazil",5,1,Middleweight,Lyoto Machida,KO/TKO
UFC 182: Jones vs Cormier,Paul Felder,40%,52,2,0,Danny Castillo,35%,94,0,0,January 03 2015,"Las Vegas, Nevada, USA",3,2,Lightweight,Paul Felder,KO/TKO
UFC 182: Jones vs Cormier,Cody Garbrandt,32%,132,0,0,Marcus Brimage,36%,134,3,1,January 03 2015,"Las Vegas, Nevada, USA",3,3,Bantamweight,Cody Garbrandt,KO/TKO
UFC 182: Jones vs Cormier,Donald Cerrone,44%,83,1,1,Myles Jury,28%,53,7,1,January 03 2015,"Las Vegas, Nevada, USA",3,3,Lightweight,Donald Cerrone,U-DEC
UFC on FOX: Dos Santos vs Miocic,David Michaud,55%,140,4,4,Garett Whiteley,46%,161,1,0,December 13 2014,"Phoenix, Arizona, USA",3,3,Lightweight,David Michaud,U-DEC
UFC 182: Jones vs Cormier,Hector Lombard,41%,129,3,2,Joshua Burkman,32%,128,2,0,January 03 2015,"Las Vegas, Nevada, USA",3,3,Welterweight,Hector Lombard,Overturned
UFC 182: Jones vs Cormier,Jon Jones,51%,178,5,3,Daniel Cormier,35%,165,8,1,January 03 2015,"Las Vegas, Nevada, USA",5,5,Light Heavyweight,Jon Jones,U-DEC
UFC 182: Jones vs Cormier,Brad Tavares,42%,119,1,1,Nate Marquardt,46%,64,7,0,January 03 2015,"Las Vegas, Nevada, USA",3,3,Middleweight,Brad Tavares,U-DEC
UFC on FOX: Dos Santos vs Miocic,Drew Dober,40%,10,2,0,Jamie Varner,41%,12,0,0,December 13 2014,"Phoenix, Arizona, USA",3,1,Lightweight,Drew Dober,SUB
UFC on FOX: Dos Santos vs Miocic,Bryan Barberena,40%,60,5,3,Joe Ellenberger,51%,122,0,0,December 13 2014,"Phoenix, Arizona, USA",3,3,Lightweight,Bryan Barberena,KO/TKO
UFC on FOX: Dos Santos vs Miocic,Henry Cejudo,49%,145,2,0,Dustin Kimura,15%,161,1,0,December 13 2014,"Phoenix, Arizona, USA",3,3,Bantamweight,Henry Cejudo,U-DEC
UFC 182: Jones vs Cormier,Kyoji Horiguchi,40%,108,2,1,Louis Gaudinot,25%,89,1,0,January 03 2015,"Las Vegas, Nevada, USA",3,3,Flyweight,Kyoji Horiguchi,U-DEC
UFC on FOX: Dos Santos vs Miocic,Joanna Jedrzejczyk,38%,70,16,7,Claudia Gadelha,30%,125,0,0,December 13 2014,"Phoenix, Arizona, USA",3,3,Women's Strawweight,Joanna Jedrzejczyk,S-DEC
UFC on FOX: Dos Santos vs Miocic,Ben Saunders,66%,3,1,1,Joe Riggs,57%,7,0,0,December 13 2014,"Phoenix, Arizona, USA",3,1,Welterweight,Ben Saunders,SUB
UFC on FOX: Dos Santos vs Miocic,Rafael Dos Anjos,64%,119,2,2,Nate Diaz,12%,104,0,0,December 13 2014,"Phoenix, Arizona, USA",3,3,Lightweight,Rafael Dos Anjos,U-DEC
UFC on FOX: Dos Santos vs Miocic,Alistair Overeem,68%,25,2,1,Stefan Struve,40%,5,0,0,December 13 2014,"Phoenix, Arizona, USA",3,1,Heavyweight,Alistair Overeem,KO/TKO
UFC on FOX: Dos Santos vs Miocic,John Moraga,58%,95,4,1,Willie Gates,29%,75,0,0,December 13 2014,"Phoenix, Arizona, USA",3,3,Flyweight,John Moraga,SUB
UFC on FOX: Dos Santos vs Miocic,Matt Mitrione,50%,12,0,0,Gabriel Gonzaga,66%,18,0,0,December 13 2014,"Phoenix, Arizona, USA",3,1,Heavyweight,Matt Mitrione,KO/TKO
The Ultimate Fighter: A Champion Will Be Crowned Finale,Tecia Torres,48%,196,1,1,Angela Magana,25%,145,2,0,December 12 2014,"Las Vegas, Nevada, USA",3,3,Women's Strawweight,Tecia Torres,U-DEC
The Ultimate Fighter: A Champion Will Be Crowned Finale,Aisling Daly,61%,26,2,1,Alex Chambers,80%,15,1,1,December 12 2014,"Las Vegas, Nevada, USA",3,1,Women's Strawweight,Aisling Daly,SUB
UFC on FOX: Dos Santos vs Miocic,Junior Dos Santos,40%,303,1,1,Stipe Miocic,46%,193,18,1,December 13 2014,"Phoenix, Arizona, USA",5,5,Heavyweight,Junior Dos Santos,U-DEC
The Ultimate Fighter: A Champion Will Be Crowned Finale,Heather Clark,58%,118,2,0,Bec Rawlings,56%,99,5,1,December 12 2014,"Las Vegas, Nevada, USA",3,3,Women's Strawweight,Heather Clark,U-DEC
The Ultimate Fighter: A Champion Will Be Crowned Finale,Felice Herrig,57%,14,1,1,Lisa Ellis,80%,5,3,2,December 12 2014,"Las Vegas, Nevada, USA",3,2,Women's Strawweight,Felice Herrig,SUB
The Ultimate Fighter: A Champion Will Be Crowned Finale,Yancy Medeiros,32%,46,0,0,Joe Proctor,37%,66,0,0,December 12 2014,"Las Vegas, Nevada, USA",3,1,Lightweight,Yancy Medeiros,SUB
The Ultimate Fighter: A Champion Will Be Crowned Finale,Joanne Wood,48%,223,4,2,Seo Hee Ham,52%,111,3,0,December 12 2014,"Las Vegas, Nevada, USA",3,3,Women's Strawweight,Joanne Wood,U-DEC
The Ultimate Fighter: A Champion Will Be Crowned Finale,Carla Esparza,46%,90,7,5,Rose Namajunas,38%,72,3,1,December 12 2014,"Las Vegas, Nevada, USA",5,3,Women's Strawweight,Carla Esparza,SUB
The Ultimate Fighter: A Champion Will Be Crowned Finale,Charles Oliveira,60%,79,0,0,Jeremy Stephens,64%,67,7,2,December 12 2014,"Las Vegas, Nevada, USA",3,3,Featherweight,Charles Oliveira,U-DEC
The Ultimate Fighter: A Champion Will Be Crowned Finale,Jessica Penne,39%,98,8,4,Randa Markos,53%,102,2,1,December 12 2014,"Las Vegas, Nevada, USA",3,3,Women's Strawweight,Jessica Penne,S-DEC
The Ultimate Fighter: A Champion Will Be Crowned Finale,KJ Noons,38%,47,0,0,Daron Cruickshank,38%,59,3,2,December 12 2014,"Las Vegas, Nevada, USA",3,2,Lightweight,KJ Noons,CNC
UFC Fight Night: Edgar vs Swanson,James Vick,28%,140,0,0,Nick Hein,29%,85,1,0,November 22 2014,"Austin, Texas, USA",3,3,Lightweight,James Vick,U-DEC
UFC Fight Night: Edgar vs Swanson,Ruslan Magomedov,43%,145,1,1,Josh Copeland,35%,56,0,0,November 22 2014,"Austin, Texas, USA",3,3,Heavyweight,Ruslan Magomedov,U-DEC
UFC Fight Night: Edgar vs Swanson,Dooho Choi,0%,4,0,0,Juan Manuel Puig,66%,15,0,0,November 22 2014,"Austin, Texas, USA",3,1,Featherweight,Dooho Choi,KO/TKO
UFC Fight Night: Edgar vs Swanson,Joseph Benavidez,47%,199,3,2,Dustin Ortiz,24%,149,9,2,November 22 2014,"Austin, Texas, USA",3,3,Flyweight,Joseph Benavidez,U-DEC
UFC Fight Night: Edgar vs Swanson,Roger Narvaez,26%,130,1,0,Luke Barnatt,43%,110,2,0,November 22 2014,"Austin, Texas, USA",3,3,Middleweight,Roger Narvaez,S-DEC
UFC Fight Night: Edgar vs Swanson,Paige VanZant,56%,108,6,3,Kailin Curran,57%,49,5,5,November 22 2014,"Austin, Texas, USA",3,3,Women's Strawweight,Paige VanZant,KO/TKO
